,id,e1,r1,e2,r2,e3,e1_label,e2_label,e3_label,e1_aliases,e2_aliases,e3_aliases,e1_type,r1_type,e2_type,r2_type,e3_type,e1_popularity,e2_popularity,e3_popularity,r1_template,r2_template,source_prompt,first_hop_correct,second_hop_correct,composition_correct,entity_shortcut_correct,relation_shortcut_correct
93,183,Q326,P27,Q39,P38,Q25344,Eduardo Frei Ruiz-Tagle,Switzerland,Swiss franc,['Eduardo Alfredo Juan Bernardo Frei Ruiz-Tagle'],"['Confoederatio Helvetica', 'Swiss', 'Swiss Confederation', 'CH', 'CHE', 'SUI']","['Franc', 'Chf', 'CHF (Swiss Franc)', 'Confœderatio Helvetica Franc', 'Franc suisse', 'Franco svizzero', 'S₣', 'Schweizer Franken', 'Swiss franco', 'Swiss francs', 'Swiss Frank', 'Swiss Franken']",human,country of citizenship,country,currency,currency,4579.0,47117.0,6344.0,the country of citizenship of {},the currency of {},the currency of the country of citizenship of Eduardo Frei Ruiz-Tagle is,True,True,False,False,False
753,441,Q557,P264,Q664167,P112,Q1101938,Patti Smith,Arista Records,Clive Davis,['Patricia Lee Smith'],['Arista'],['Clive Jay Davis'],human,record label,record label,founded by,human,3902.0,771.0,7512.0,the record label of {},the founder of {},the founder of the record label of Patti Smith is,True,True,False,False,False
137,1421,Q2494,P27,Q38,P85,Q187,Benedict XVI,Italy,Il Canto degli Italiani,"['Josef Ratzinger', 'Benedetto XVI', 'Benedictus XVI', 'Joseph Alois Ratzinger', 'Joseph Aloisius Ratzinger', 'Pope Benedict XVI', 'Pope Benedictus XVI', 'Pope Emeritus Benedict XVI']","['ITA', 'Italia', 'IT', '🇮🇹', 'Italian Republic', 'Repubblica Italiana', 'Republic of Italy']","['Brothers of Italy', ""Fratelli d'Italia"", 'Inno di Mameli', ""Mameli's Hymn"", 'The Song of the Italians']",human,country of citizenship,country,anthem,musical work/composition,8830.0,1438.0,1530.0,the country of citizenship of {},the national anthem of {},the national anthem of the country of citizenship of Benedict XVI is,True,True,False,False,False
794,1519,Q2680,P264,Q43327,P112,Q355288,Bruce Willis,Motown,Berry Gordy,['Walter Bruce Willis'],['Motown Records'],"['Berry Gordy III', 'Berry Gordy Jr.']",human,record label,record label,founded by,human,496.0,15.0,5040.0,the record label of {},the founder of {},the founder of the record label of Bruce Willis is,True,True,False,False,False
778,1799,Q3374,P264,Q168407,P159,Q64,Anne-Sophie Mutter,Deutsche Grammophon,Berlin,['Anne Sophie Mutter'],"['Deutsche Grammophon Gesellschaft', 'Deutsche Grammophon GmbH']","['Berlin, Germany', 'Berlin (Germany)', 'DE-BE']",human,record label,record label,headquarters location,city,5567.0,47117.0,10842.0,the record label of {},the headquarters location of {},the headquarters location of the record label of Anne-Sophie Mutter is,True,True,False,False,False
793,2006,Q3924,P264,Q1047366,P159,Q34404,Kevin Rudolf,Cash Money Records,New Orleans,"['Kevin Winston Rudolf', 'Binocular']",['Ca$h Money Records'],"['Crescent City', 'The Big Easy', 'NOLA', 'New Orleans, Louisiana', 'New Orleans, LA']",human,record label,record label,headquarters location,city,130.0,84.0,2744.0,the record label of {},the headquarters location of {},the headquarters location of the record label of Kevin Rudolf is,True,True,False,False,False
613,3338,Q801,P85,Q130865,P86,Q983703,Israel,Hatikvah,Samuel Cohen,"['il', 'ISR', 'State of Israel', 'IL', 'Hebrew state', 'Zionist state']",['The Hope'],['Shmuel Cohen'],country,anthem,musical work/composition,composer,human,3718.0,47117.0,10842.0,the national anthem of {},the composer of {},the composer of the national anthem of Israel is,True,True,False,False,False
56,3457,Q796,P36,Q1530,P112,Q31066,Iraq,Baghdad,Al-Mansur,"['IRQ', 'iq', 'al-‘Irāq', '🇮🇶', 'Jumhūriyyat al-‘Irāq', 'Komar-i ‘Êraq', 'Republic of Iraq', 'العراق']","['Bagdad', 'Baghdād']","['Mansur', 'Abu Giafar Almansur', ""Abu Ja'far Abdallah ibn Muhammad al-Mansur"", ""Abu Ja'far al-Mansur""]",country,capital,city,founded by,human,12151.0,799.0,0.0,the capital of {},the founder of {},the founder of the capital of Iraq is,True,True,False,False,False
349,3530,Q917,P35,Q57376,P26,Q209532,Bhutan,Jigme Khesar Namgyel Wangchuck,Jetsun Pema,"['bt', 'BHU', '🇧🇹', 'Kingdom of Bhutan']","['His Majesty The Druk Gyalpo Jigme Khesar Namgyel Wangchuck', 'Jigme Khesar', 'Jigme Khesar Wangchuck', 'King Jigme Khesar', 'The Druk Gyalpo']","['Dragon Queen', 'Druk Gyaltsuen', 'Her Majesty The Gyaltsuen Jetsun Pema Wangchuck', 'Jetsun Pema Wangchuck', 'Queen Ashi Jetsun Pema', 'Queen Ashi Jetsun Pema Wangchuck', 'Queen of Bhutan', 'rje btsun padma', 'The Gyaltsuen']",country,head of state,human,spouse,human,5676.0,66.0,161.0,the head of state of {},the spouse of {},the spouse of the head of state of Bhutan is,True,True,False,False,False
364,4569,Q844790,P86,Q7314,P26,Q4445403,The Firebird,Igor Stravinsky,Vera de Bosset,"[""L'Oiseau de feu""]","['Stravinsky', 'I. Strawinsky', 'Igor Fedorovich Stravinsky', 'Igor Feodorovich Stravinsky', 'Igor Fyodorovich Stravinsky', 'Igor Stravinski', 'Igor Stravinskii', 'Igor Strawinski', 'Igor Strawinskij', 'Igor Strawinsky', 'Jgor Strawinsky']","['Vera Lourie', 'Vera Lourié', 'Vera Arturovna Stravinskaja', 'Vera Arturovna Stravinskaya', 'Vera Arturovna Sudeikina', 'Vera Arturovna Sudejkina', 'Vera de Bosse', 'Vera de Bosset Stravinsky', 'Vera Ljuri', 'Vera Schilling', 'Vera Silling', 'Vera Stravinsky']",musical work/composition,composer,human,spouse,human,1241.0,47117.0,24833.0,the composer of {},the spouse of {},the spouse of the composer of The Firebird is,True,True,False,False,False
