,id,e1,r1,e2,r2,e3,e1_label,e2_label,e3_label,e1_aliases,e2_aliases,e3_aliases,e1_type,r1_type,e2_type,r2_type,e3_type,e1_popularity,e2_popularity,e3_popularity,r1_template,r2_template,source_prompt,first_hop_correct,second_hop_correct,composition_correct,entity_shortcut_correct,relation_shortcut_correct
269,57,Q42,P800,Q25169,P495,Q145,Douglas Adams,The Hitchhiker's Guide to the Galaxy pentalogy,United Kingdom,"['DNA', 'Douglas Noël Adams']","[""The Hitchhiker's Guide to the Galaxy"", ""Hitchhiker's Guide to the Galaxy"", 'H2G2', 'HG2G', 'HHGTTG']","['G B', 'G B R', 'G.B.R.', '🇬🇧', 'Great Britain and Northern Ireland', 'The UK', 'The United Kingdom of Great Britain and Northern Ireland', 'U K', 'U. K.', 'U.K.', 'Britain', 'UK', 'G. B.', 'GBR', 'Great Britain', 'GB', 'G.B.', 'United Kingdom of Great Britain and Northern Ireland']",human,notable work,novel series,country of origin,country,18548.0,1601.0,24.0,the most notable work of {},the country of origin of {},the country of origin of the most notable work of Douglas Adams is,True,False,True,False,False
89,80,Q207,P27,Q30,P36,Q61,George W. Bush,United States of America,"Washington, D.C.","['Bush', 'Bush 43', 'Bush Jr.', 'Bush, George W.', 'Dubya', 'George Bush', 'George Walker Bush', 'GWB', 'President Bush', 'President George W. Bush']","['United States', 'US', 'America', 'the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'Merica', 'America (United States)', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America']","['Washington, D. C.', 'D.C. Washington', 'Washington', 'The District', 'D.C.', 'DC', 'District of Columbia', 'Washington D.C.', 'Washington, DC', 'US-DC', 'Washington DC', 'Washington, D.C., U.S.', 'Washington, District of Columbia']",human,country of citizenship,country,capital,city,5676.0,66.0,161.0,the country of citizenship of {},the capital of {},the capital of the country of citizenship of George W. Bush is,True,True,True,False,False
20,101,Q181,P27,Q30,P85,Q44696,Jimmy Wales,United States of America,The Star-Spangled Banner,"['Jimbo', 'Jimbo Wales', 'Jimmy ""Jimbo"" Wales', 'Jimmy Donal ""Jimbo"" Wales', 'Jimmy Donal Wales']","['United States', 'US', 'America', 'the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'Merica', 'America (United States)', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America']","['Star-Spangled Banner', 'The Star Spangled Banner']",human,country of citizenship,country,anthem,musical work/composition,24141.0,7381.0,317.0,the country of citizenship of {},the national anthem of {},the national anthem of the country of citizenship of Jimmy Wales is,True,True,True,False,False
73,422,Q607,P27,Q30,P85,Q44696,Michael Bloomberg,United States of America,The Star-Spangled Banner,"['Michael R. Bloomberg', 'Michael Rubens Bloomberg', 'Mike Bloomberg']","['the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'America', 'United States', 'US', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['Star-Spangled Banner', 'The Star Spangled Banner']",human,country of citizenship,country,anthem,musical work/composition,3188.0,32.0,13.0,the country of citizenship of {},the national anthem of {},the national anthem of the country of citizenship of Michael Bloomberg is,True,True,True,False,False
82,683,Q1453,P27,Q218,P36,Q19660,Alexandra Stan,Romania,Bucharest,['Alexandra Ioana Stan'],"['ro', 'Rumania', 'Roumania', '🇷🇴', 'România']","['Little Paris', 'București', 'Bucharest, Romania', 'Bucuresti', 'Bucureşti', 'Paris of the East']",human,country of citizenship,country,capital,city,6388.0,47117.0,6344.0,the country of citizenship of {},the capital of {},the capital of the country of citizenship of Alexandra Stan is,True,True,True,False,False
168,771,Q1463,P26,Q285536,P27,Q928,Ferdinand Marcos,Imelda Marcos,Philippines,"['Ferdinand Edralin Marcos', 'Mcoy', 'Ferdinand Marcos Sr.', 'FM', 'FEM', 'Apo Lakay', 'Ferdinand E. E. Marcos']","['Imelda', 'Steel Butterfly', 'Jane Ryan', 'Imelda R. Marcos', 'Imelda Romualdez', 'Imelda Romuáldez', 'Imelda Romualdez Marcos']","['PH', 'RP', 'The Philippines', 'PHL', 'Republic of the Philippines', 'Philippine Islands', 'PHI', 'ph', '🇵🇭']",human,spouse,human,country of citizenship,country,2513.0,155.0,23.0,the spouse of {},the country of citizenship of {},the country of citizenship of the spouse of Ferdinand Marcos is,True,True,True,False,False
10,854,Q1233,P27,Q38,P85,Q187,Sandro Pertini,Italy,Il Canto degli Italiani,['Alessandro Pertini'],"['ITA', 'Italia', 'IT', '🇮🇹', 'Italian Republic', 'Repubblica Italiana', 'Republic of Italy']","['Brothers of Italy', ""Fratelli d'Italia"", 'Inno di Mameli', ""Mameli's Hymn"", 'The Song of the Italians']",human,country of citizenship,country,anthem,musical work/composition,702.0,15030.0,3069.0,the country of citizenship of {},the national anthem of {},the national anthem of the country of citizenship of Sandro Pertini is,True,True,True,False,False
13,924,Q1317,P27,Q851,P38,Q199857,Osama bin Laden,Saudi Arabia,Saudi riyal,"['Crankshaft', 'Osama bin Mohammed bin Awad bin Laden', 'Usama bin Laden', 'Usāmah bin Muḥammad bin ‘Awaḍ bin Lādin']","['sa', 'KSA', '🇸🇦', 'Kingdom of Saudi Arabia']","['﷼', 'riyal', 'SAR']",human,country of citizenship,country,currency,currency,566.0,16.0,7381.0,the country of citizenship of {},the currency of {},the currency of the country of citizenship of Osama bin Laden is,True,True,True,False,False
18,927,Q1253,P27,Q884,P38,Q202040,Ban Ki-moon,South Korea,won,"['Ban Ki Moon', 'Ban Kimoon', 'H.E. Ban Ki-moon', 'Ki-moon Ban', 'HE Ban Ki Moon']","['Republic of Korea', 'KOR', 'SK', 'ROK', 'kr', '🇰🇷', 'Hanguk', 'Korea (South)', 'Daehan Minguk', 'Daehanminguk', 'Korea Republic', 'Rep. Korea', 'S. Korea']","['KRW', '￦', 'south korea won']",human,country of citizenship,country,currency,currency,10466.0,5377.0,47117.0,the country of citizenship of {},the currency of {},the currency of the country of citizenship of Ban Ki-moon is,True,True,True,False,False
35,1001,Q1736,P27,Q30,P85,Q44696,Erik Kynard,United States of America,The Star-Spangled Banner,"['Erik Kynard Jr.', 'Erik Kynard, Jr.']","['America', 'United States', 'US', 'the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['Star-Spangled Banner', 'The Star Spangled Banner']",human,country of citizenship,country,anthem,musical work/composition,82.0,5040.0,1437.0,the country of citizenship of {},the national anthem of {},the national anthem of the country of citizenship of Erik Kynard is,True,True,True,False,False
