model,id,one_hop_a,one_hop_b,two_hop_cot,two_hop_no_cot,two_hop_no_cot_baseline1,two_hop_no_cot_baseline2,two_hop_with_facts_in_context,both_1hops_correct,two_hop_also_correct,two_hop_also_correct_corrected
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,1229,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,1910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,2690,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,2745,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,3321,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,3570,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,4844,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,4861,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,5436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,6849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,7449,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,8425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,9462,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
