,task,id,correct,model,e1_popularity,e2_popularity,e3_popularity
0,one_hop_a,10299,True,claude-3-opus-20240229,482.0,14137.0,8681.0
1,one_hop_a,11472,True,claude-3-opus-20240229,26855.0,66.0,740.0
2,one_hop_a,11930,True,claude-3-opus-20240229,996.0,10297.0,5379.0
3,one_hop_a,12032,True,claude-3-opus-20240229,26855.0,3932.0,3108.0
4,one_hop_a,14035,True,claude-3-opus-20240229,26855.0,66.0,740.0
5,one_hop_a,15703,True,claude-3-opus-20240229,9639.0,23908.0,1439.0
6,one_hop_a,19072,True,claude-3-opus-20240229,2040.0,34.0,13.0
7,one_hop_a,1910,True,claude-3-opus-20240229,3902.0,771.0,7512.0
8,one_hop_a,20839,True,claude-3-opus-20240229,3.0,2084.0,4978.0
9,one_hop_a,22100,True,claude-3-opus-20240229,330.0,155.0,54.0
10,one_hop_a,2690,True,claude-3-opus-20240229,976.0,12.0,8.0
11,one_hop_a,2745,True,claude-3-opus-20240229,1714.0,90.0,14797.0
12,one_hop_a,27477,False,claude-3-opus-20240229,18548.0,1601.0,1.0
13,one_hop_a,32530,True,claude-3-opus-20240229,15592.0,3299.0,2950.0
14,one_hop_a,33077,True,claude-3-opus-20240229,1029.0,7381.0,5379.0
15,one_hop_a,3321,True,claude-3-opus-20240229,6388.0,47117.0,24833.0
16,one_hop_a,33484,False,claude-3-opus-20240229,8164.0,12378.0,3432.0
17,one_hop_a,36767,True,claude-3-opus-20240229,167.0,18.0,10572.0
18,one_hop_a,37150,False,claude-3-opus-20240229,6951.0,354.0,24.0
19,one_hop_a,38051,True,claude-3-opus-20240229,18548.0,1601.0,1.0
20,one_hop_a,43010,False,claude-3-opus-20240229,14.0,14137.0,8681.0
21,one_hop_a,43883,False,claude-3-opus-20240229,164.0,10572.0,669.0
22,one_hop_a,45459,False,claude-3-opus-20240229,9454.0,12555.0,14846.0
23,one_hop_a,45966,False,claude-3-opus-20240229,170.0,2755.0,392.0
24,one_hop_a,47072,False,claude-3-opus-20240229,2610.0,781.0,29.0
25,one_hop_a,47185,True,claude-3-opus-20240229,1303.0,10572.0,5469.0
26,one_hop_a,47406,True,claude-3-opus-20240229,117.0,2517.0,121.0
27,one_hop_a,48029,True,claude-3-opus-20240229,117.0,7029.0,238.0
28,one_hop_a,4861,False,claude-3-opus-20240229,34189.0,6140.0,171.0
29,one_hop_a,48753,True,claude-3-opus-20240229,3080.0,14386.0,988.0
30,one_hop_a,49635,True,claude-3-opus-20240229,3466.0,33574.0,3675.0
31,one_hop_a,51542,True,claude-3-opus-20240229,7.0,12018.0,1918.0
32,one_hop_a,5436,True,claude-3-opus-20240229,26301.0,1599.0,1742.0
33,one_hop_a,55684,False,claude-3-opus-20240229,3100.0,678.0,5739.0
34,one_hop_a,56234,False,claude-3-opus-20240229,15.0,26.0,4885.0
35,one_hop_a,57304,False,claude-3-opus-20240229,92.0,35.0,1115.0
36,one_hop_a,58396,True,claude-3-opus-20240229,0.0,4764.0,180.0
37,one_hop_a,59715,False,claude-3-opus-20240229,38.0,1805.0,4885.0
38,one_hop_a,60185,False,claude-3-opus-20240229,230.0,3539.0,3830.0
39,one_hop_a,60191,False,claude-3-opus-20240229,6.0,3100.0,140.0
40,one_hop_a,64282,True,claude-3-opus-20240229,440.0,502.0,120.0
41,one_hop_a,65153,True,claude-3-opus-20240229,28.0,96.0,21.0
42,one_hop_a,66504,False,claude-3-opus-20240229,0.0,2.0,0.0
43,one_hop_a,67156,True,claude-3-opus-20240229,29.0,2151.0,340.0
44,one_hop_a,69371,False,claude-3-opus-20240229,0.0,163.0,0.0
45,one_hop_a,76339,True,claude-3-opus-20240229,20.0,19.0,60.0
46,one_hop_a,76484,False,claude-3-opus-20240229,1381.0,42.0,2.0
47,one_hop_a,78580,False,claude-3-opus-20240229,0.0,24.0,25.0
48,one_hop_a,81963,True,claude-3-opus-20240229,329.0,341.0,119.0
49,one_hop_a,8425,False,claude-3-opus-20240229,5819.0,1336.0,47117.0
50,one_hop_a,10299,True,claude-3-sonnet-20240229,482.0,14137.0,8681.0
51,one_hop_a,11472,True,claude-3-sonnet-20240229,26855.0,66.0,740.0
52,one_hop_a,11930,False,claude-3-sonnet-20240229,996.0,10297.0,5379.0
53,one_hop_a,12032,False,claude-3-sonnet-20240229,26855.0,3932.0,3108.0
54,one_hop_a,14035,True,claude-3-sonnet-20240229,26855.0,66.0,740.0
55,one_hop_a,15703,True,claude-3-sonnet-20240229,9639.0,23908.0,1439.0
56,one_hop_a,19072,False,claude-3-sonnet-20240229,2040.0,34.0,13.0
57,one_hop_a,1910,True,claude-3-sonnet-20240229,3902.0,771.0,7512.0
58,one_hop_a,20839,True,claude-3-sonnet-20240229,3.0,2084.0,4978.0
59,one_hop_a,22100,True,claude-3-sonnet-20240229,330.0,155.0,54.0
60,one_hop_a,2690,True,claude-3-sonnet-20240229,976.0,12.0,8.0
61,one_hop_a,2745,True,claude-3-sonnet-20240229,1714.0,90.0,14797.0
62,one_hop_a,27477,True,claude-3-sonnet-20240229,18548.0,1601.0,1.0
63,one_hop_a,32530,True,claude-3-sonnet-20240229,15592.0,3299.0,2950.0
64,one_hop_a,33077,True,claude-3-sonnet-20240229,1029.0,7381.0,5379.0
65,one_hop_a,3321,True,claude-3-sonnet-20240229,6388.0,47117.0,24833.0
66,one_hop_a,33484,False,claude-3-sonnet-20240229,8164.0,12378.0,3432.0
67,one_hop_a,36767,True,claude-3-sonnet-20240229,167.0,18.0,10572.0
68,one_hop_a,37150,True,claude-3-sonnet-20240229,6951.0,354.0,24.0
69,one_hop_a,38051,False,claude-3-sonnet-20240229,18548.0,1601.0,1.0
70,one_hop_a,43010,True,claude-3-sonnet-20240229,14.0,14137.0,8681.0
71,one_hop_a,43883,True,claude-3-sonnet-20240229,164.0,10572.0,669.0
72,one_hop_a,45459,False,claude-3-sonnet-20240229,9454.0,12555.0,14846.0
73,one_hop_a,45966,False,claude-3-sonnet-20240229,170.0,2755.0,392.0
74,one_hop_a,47072,False,claude-3-sonnet-20240229,2610.0,781.0,29.0
75,one_hop_a,47185,True,claude-3-sonnet-20240229,1303.0,10572.0,5469.0
76,one_hop_a,47406,True,claude-3-sonnet-20240229,117.0,2517.0,121.0
77,one_hop_a,48029,True,claude-3-sonnet-20240229,117.0,7029.0,238.0
78,one_hop_a,4861,False,claude-3-sonnet-20240229,34189.0,6140.0,171.0
79,one_hop_a,48753,True,claude-3-sonnet-20240229,3080.0,14386.0,988.0
80,one_hop_a,49635,True,claude-3-sonnet-20240229,3466.0,33574.0,3675.0
81,one_hop_a,51542,True,claude-3-sonnet-20240229,7.0,12018.0,1918.0
82,one_hop_a,5436,False,claude-3-sonnet-20240229,26301.0,1599.0,1742.0
83,one_hop_a,55684,False,claude-3-sonnet-20240229,3100.0,678.0,5739.0
84,one_hop_a,56234,False,claude-3-sonnet-20240229,15.0,26.0,4885.0
85,one_hop_a,57304,False,claude-3-sonnet-20240229,92.0,35.0,1115.0
86,one_hop_a,58396,True,claude-3-sonnet-20240229,0.0,4764.0,180.0
87,one_hop_a,59715,True,claude-3-sonnet-20240229,38.0,1805.0,4885.0
88,one_hop_a,60185,False,claude-3-sonnet-20240229,230.0,3539.0,3830.0
89,one_hop_a,60191,False,claude-3-sonnet-20240229,6.0,3100.0,140.0
90,one_hop_a,64282,True,claude-3-sonnet-20240229,440.0,502.0,120.0
91,one_hop_a,65153,True,claude-3-sonnet-20240229,28.0,96.0,21.0
92,one_hop_a,66504,False,claude-3-sonnet-20240229,0.0,2.0,0.0
93,one_hop_a,67156,False,claude-3-sonnet-20240229,29.0,2151.0,340.0
94,one_hop_a,69371,False,claude-3-sonnet-20240229,0.0,163.0,0.0
95,one_hop_a,76339,False,claude-3-sonnet-20240229,20.0,19.0,60.0
96,one_hop_a,76484,False,claude-3-sonnet-20240229,1381.0,42.0,2.0
97,one_hop_a,78580,False,claude-3-sonnet-20240229,0.0,24.0,25.0
98,one_hop_a,81963,True,claude-3-sonnet-20240229,329.0,341.0,119.0
99,one_hop_a,8425,False,claude-3-sonnet-20240229,5819.0,1336.0,47117.0
100,one_hop_a,10299,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,482.0,14137.0,8681.0
101,one_hop_a,11472,False,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,26855.0,66.0,740.0
102,one_hop_a,11930,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,996.0,10297.0,5379.0
103,one_hop_a,12032,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,26855.0,3932.0,3108.0
104,one_hop_a,14035,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,26855.0,66.0,740.0
105,one_hop_a,15703,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,9639.0,23908.0,1439.0
106,one_hop_a,19072,False,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,2040.0,34.0,13.0
107,one_hop_a,1910,False,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,3902.0,771.0,7512.0
108,one_hop_a,20839,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,3.0,2084.0,4978.0
109,one_hop_a,22100,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,330.0,155.0,54.0
110,one_hop_a,2690,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,976.0,12.0,8.0
111,one_hop_a,2745,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,1714.0,90.0,14797.0
112,one_hop_a,27477,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,18548.0,1601.0,1.0
113,one_hop_a,32530,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,15592.0,3299.0,2950.0
114,one_hop_a,33077,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,1029.0,7381.0,5379.0
115,one_hop_a,3321,True,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,6388.0,47117.0,24833.0
116,one_hop_a,33484,False,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,8164.0,12378.0,3432.0
117,one_hop_a,36767,False,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,167.0,18.0,10572.0
118,one_hop_a,37150,False,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,6951.0,354.0,24.0
