model,id,one_hop_a,one_hop_b,two_hop_cot,two_hop_no_cot,two_hop_no_cot_baseline1,two_hop_no_cot_baseline2,two_hop_with_facts_in_context,both_1hops_correct,two_hop_also_correct,two_hop_also_correct_corrected
claude-3-haiku-20240307,6569,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6577,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6580,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6606,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,6615,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,6636,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6657,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6670,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,6679,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6712,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6733,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6746,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6748,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6752,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6760,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6774,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6801,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6812,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-haiku-20240307,6830,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-haiku-20240307,6840,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,6882,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6896,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,6903,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-haiku-20240307,6929,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,6930,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6933,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,6954,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6958,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6959,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6960,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,6961,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6963,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,6966,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7023,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7065,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7080,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7112,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7115,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7129,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7135,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7163,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7167,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7171,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7187,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7192,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7202,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7209,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7229,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7238,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7240,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7245,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7278,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7285,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,7291,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7296,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,7302,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
